week,season_year,team_id,pf,pa,pyds,ptd,ryds,rtds,patt,ratt,sacks,totalyards
1,2012,SF,30,22,211,2,186,1,26,32,4,397
2,2012,SF,27,19,226,2,148,1,31,27,3,374
3,2012,SF,13,24,204,1,89,0,35,20,3,293
4,2012,SF,34,0,143,0,245,3,22,44,2,388
5,2012,SF,45,3,310,3,311,3,25,38,0,621
6,2012,SF,3,26,282,0,80,0,37,17,6,362
7,2012,SF,13,6,140,1,175,0,23,32,2,315
8,2012,SF,24,3,232,3,113,0,19,29,4,345
10,2012,SF,24,24,189,1,183,2,25,34,5,372
11,2012,SF,32,7,243,2,123,1,23,29,2,366
12,2012,SF,31,21,231,1,144,1,25,31,0,375
13,2012,SF,13,16,208,0,148,1,32,36,3,356
14,2012,SF,27,13,185,0,155,3,23,28,4,340
15,2012,SF,41,34,216,4,180,0,25,39,1,396
16,2012,SF,13,42,244,1,82,0,36,19,1,326
17,2012,SF,27,13,282,2,129,1,29,37,1,411
